"Date","Price","Open","High","Low","Change %"
"2025/07/04","9.725","9.740","9.785","9.725","0.00%"
"2025/07/03","9.725","9.845","9.885","9.730","-0.97%"
"2025/07/02","9.820","9.860","9.865","9.805","-0.20%"
"2025/07/01","9.840","9.955","9.965","9.850","-1.11%"
"2025/06/30","9.950","9.945","9.975","9.925","-0.10%"
"2025/06/27","9.960","9.975","10.090","9.950","0.15%"
"2025/06/26","9.945","9.915","9.985","9.855","0.35%"
"2025/06/25","9.910","9.955","9.955","9.905","-0.25%"
"2025/06/24","9.935","10.040","10.075","9.930","-1.24%"
"2025/06/23","10.060","10.080","10.110","10.050","0.20%"
"2025/06/20","10.040","10.125","10.125","10.035","-0.84%"
"2025/06/19","10.125","10.155","10.175","10.120","0.15%"
"2025/06/18","10.110","10.090","10.130","10.065","0.15%"
"2025/06/17","10.095","10.155","10.170","10.080","-0.44%"
"2025/06/13","10.140","10.150","10.255","10.125","0.55%"
"2025/06/12","10.085","10.110","10.205","10.085","-0.15%"
"2025/06/11","10.100","10.090","10.145","10.090","0.30%"
"2025/06/10","10.070","10.145","10.145","10.065","-0.64%"
"2025/06/09","10.135","10.075","10.155","10.075","0.75%"
"2025/06/06","10.060","10.040","10.090","10.015","0.25%"
"2025/06/05","10.035","9.995","10.065","9.995","0.50%"
"2025/06/04","9.985","10.125","10.125","9.980","-1.24%"
"2025/06/03","10.110","10.215","10.215","10.100","-0.79%"
"2025/06/02","10.190","10.150","10.240","10.150","0.49%"
"2025/05/30","10.140","10.135","10.200","10.085","-0.15%"
"2025/05/29","10.155","10.350","10.360","10.170","-1.60%"
"2025/05/28","10.320","10.420","10.425","10.335","-0.67%"
"2025/05/27","10.390","10.475","10.480","10.390","-0.72%"
"2025/05/26","10.465","10.485","10.505","10.465","0.05%"
"2025/05/23","10.460","10.500","10.500","10.430","-0.29%"
"2025/05/22","10.490","10.455","10.525","10.440","0.53%"
"2025/05/21","10.435","10.460","10.490","10.430","0.00%"
"2025/05/20","10.435","10.465","10.490","10.435","-0.29%"
"2025/05/19","10.465","10.470","10.505","10.455","0.48%"
"2025/05/16","10.415","10.425","10.445","10.360","-0.24%"
"2025/05/15","10.440","10.560","10.575","10.420","-0.95%"
"2025/05/14","10.540","10.510","10.575","10.480","0.09%"
"2025/05/13","10.530","10.520","10.555","10.485","0.24%"
"2025/05/12","10.505","10.525","10.525","10.450","-0.05%"
"2025/05/09","10.510","10.570","10.575","10.500","-0.24%"
"2025/05/08","10.535","10.620","10.645","10.525","-0.80%"
"2025/05/07","10.620","10.670","10.710","10.620","-0.38%"
"2025/05/06","10.660","10.615","10.690","10.615","0.52%"
"2025/05/05","10.605","10.615","10.645","10.610","0.09%"
"2025/05/02","10.595","10.580","10.635","10.565","0.09%"
"2025/04/30","10.585","10.605","10.620","10.575","-0.14%"
"2025/04/29","10.600","10.605","10.655","10.605","-0.66%"
"2025/04/25","10.670","10.700","10.705","10.580","0.05%"
"2025/04/24","10.665","10.820","10.830","10.665","-1.20%"
"2025/04/23","10.795","10.890","10.950","10.800","-1.24%"
"2025/04/22","10.930","10.940","10.970","10.930","0.23%"
"2025/04/17","10.905","10.885","10.920","10.865","0.28%"
"2025/04/16","10.875","10.940","10.960","10.885","-0.50%"
"2025/04/15","10.930","10.939","10.950","10.875","-0.05%"
"2025/04/14","10.935","10.990","10.990","10.915","-0.95%"
"2025/04/11","11.040","10.970","11.065","10.960","1.38%"
"2025/04/10","10.890","10.895","10.940","10.860","-1.54%"
"2025/04/09","11.060","11.040","11.135","11.040","1.05%"
"2025/04/08","10.945","11.095","11.095","10.905","-1.22%"
"2025/04/07","11.080","11.155","11.275","11.070","-0.27%"
"2025/04/04","11.110","10.830","11.165","10.830","2.87%"
"2025/04/03","10.800","10.865","11.075","10.805","-0.37%"
"2025/04/02","10.840","10.660","10.855","10.660","2.31%"
"2025/04/01","10.595","10.600","10.645","10.545","-0.09%"
"2025/03/31","10.605","10.680","10.680","10.585","-0.84%"
"2025/03/28","10.695","10.680","10.695","10.590","0.23%"
"2025/03/27","10.670","10.645","10.690","10.625","0.33%"
"2025/03/26","10.635","10.711","10.715","10.625","-0.51%"
"2025/03/25","10.690","10.695","10.755","10.685","0.42%"
"2025/03/24","10.645","10.585","10.675","10.585","0.76%"
"2025/03/20","10.565","10.585","10.660","10.580","-0.14%"
"2025/03/19","10.580","10.630","10.645","10.545","-0.24%"
"2025/03/18","10.605","10.645","10.675","10.615","-0.14%"
"2025/03/17","10.620","10.625","10.660","10.620","0.14%"
"2025/03/14","10.605","10.550","10.625","10.545","0.62%"
"2025/03/13","10.540","10.507","10.580","10.500","0.48%"
"2025/03/12","10.490","10.480","10.585","10.480","0.19%"
"2025/03/11","10.470","10.515","10.525","10.480","-0.24%"
"2025/03/10","10.495","10.565","10.565","10.495","-0.33%"
"2025/03/07","10.530","10.505","10.600","10.490","0.43%"
"2025/03/06","10.485","10.485","10.515","10.480","0.53%"
"2025/03/05","10.430","10.450","10.495","10.430","-0.05%"
"2025/03/04","10.435","10.505","10.510","10.435","-0.48%"
"2025/03/03","10.485","10.555","10.600","10.500","-0.43%"
"2025/02/28","10.530","10.507","10.570","10.480","0.38%"
"2025/02/27","10.490","10.450","10.520","10.450","0.53%"
"2025/02/26","10.435","10.525","10.540","10.415","-0.67%"
"2025/02/25","10.505","10.530","10.560","10.510","-0.24%"
"2025/02/24","10.530","10.582","10.610","10.525","-0.57%"
"2025/02/21","10.590","10.615","10.630","10.585","-0.14%"
"2025/02/20","10.605","10.595","10.650","10.555","0.24%"
"2025/02/19","10.580","10.525","10.655","10.510","0.71%"
"2025/02/18","10.505","10.560","10.570","10.505","-0.24%"
"2025/02/17","10.530","10.495","10.555","10.480","0.53%"
"2025/02/14","10.475","10.547","10.550","10.465","-0.57%"
"2025/02/13","10.535","10.540","10.595","10.525","-0.14%"
"2025/02/12","10.550","10.545","10.575","10.500","0.19%"
"2025/02/11","10.530","10.490","10.558","10.480","0.57%"
"2025/02/10","10.470","10.430","10.580","10.430","0.58%"
"2025/02/07","10.410","10.420","10.445","10.380","-0.05%"
"2025/02/06","10.415","10.400","10.500","10.400","0.14%"
"2025/02/05","10.400","10.420","10.445","10.370","-0.34%"
"2025/02/04","10.435","10.505","10.505","10.430","-0.52%"
"2025/02/03","10.490","10.535","10.595","10.490","1.11%"
"2025/01/31","10.375","10.355","10.465","10.348","0.63%"
"2025/01/30","10.310","10.265","10.340","10.245","15.13%"
"2025/01/29","8.955","9.020","9.025","8.950","-0.72%"
"2025/01/28","9.020","9.160","9.160","9.025","-1.12%"
"2025/01/27","9.123","9.040","9.185","9.040","1.47%"
"2025/01/24","8.990","9.005","9.040","8.955","-0.55%"
"2025/01/23","9.040","9.040","9.065","9.005","0.53%"
"2025/01/22","8.993","9.085","9.105","8.995","-0.96%"
"2025/01/21","9.080","9.105","9.160","9.065","-0.85%"
"2025/01/20","9.158","9.235","9.237","9.125","-0.41%"
"2025/01/17","9.195","9.150","9.240","9.135","0.03%"
"2025/01/16","9.193","9.152","9.220","9.125","0.68%"
"2025/01/15","9.130","9.290","9.295","9.145","-1.72%"
"2025/01/14","9.290","9.320","9.330","9.245","-0.16%"
"2025/01/13","9.305","9.240","9.430","9.240","0.59%"
"2025/01/10","9.250","9.140","9.295","9.135","1.31%"
"2025/01/09","9.130","9.090","9.145","9.085","0.50%"
"2025/01/08","9.085","9.055","9.135","9.050","0.55%"
"2025/01/07","9.035","9.027","9.050","8.995","0.28%"
"2025/01/06","9.010","9.045","9.090","9.020","-0.06%"
"2025/01/03","9.015","9.025","9.035","9.015","0.11%"
"2025/01/02","9.005","9.045","9.050","9.020","-0.33%"
